Date	Ticker	Change %	Stock Exchange
2026-06-17	NDAQ	-5.977	nasdaq stocks
2026-06-17	SMTI	-5.95	nasdaq stocks
2026-06-17	BETR	-5.919	nasdaq stocks
2026-06-17	BWIN	-5.917	nasdaq stocks
2026-06-17	RNG	-5.904	nyse stocks
2026-06-17	DBI	-5.9	nyse stocks
2026-06-17	BMM	-5.898	nasdaq stocks
2026-06-17	ENPH	-5.897	nasdaq stocks
2026-06-17	SGRY	-5.886	nasdaq stocks
2026-06-17	FLUT	-5.88	nyse stocks
2026-06-17	QDEL	-5.878	nasdaq stocks
2026-06-17	GPI	-5.877	nyse stocks
2026-06-17	SPTX	-5.866	nasdaq stocks
2026-06-17	BBNX	-5.853	nasdaq stocks
2026-06-17	FGNX	-5.845	nasdaq stocks
2026-06-17	LBRDA	-5.834	nasdaq stocks
2026-06-17	EL	-5.792	nyse stocks
2026-06-17	MIAX	-5.783	nyse stocks
2026-06-17	RMBS	-5.773	nasdaq stocks
2026-06-17	SHEN	-5.718	nasdaq stocks
2026-06-17	SVM	-5.714	nysemkt stocks
2026-06-17	LBTYK	-5.704	nasdaq stocks
2026-06-17	CNMD	-5.698	nyse stocks
2026-06-17	KD	-5.684	nyse stocks
2026-06-17	EFX	-5.591	nyse stocks
2026-06-17	ACHC	-5.585	nasdaq stocks
2026-06-17	CHWY	-5.579	nyse stocks
2026-06-17	ASYS	-5.578	nasdaq stocks
2026-06-17	RKT	-5.571	nyse stocks
2026-06-17	ANGI	-5.556	nasdaq stocks
2026-06-17	CSIQ	-5.549	nasdaq stocks
2026-06-17	OLLI	-5.544	nasdaq stocks
2026-06-17	WING	-5.542	nasdaq stocks
2026-06-17	CNL	-5.537	nysemkt stocks
2026-06-17	FA	-5.509	nasdaq stocks
2026-06-17	ADNT	-5.502	nyse stocks
2026-06-17	FIVN	-5.49	nasdaq stocks
2026-06-17	VIVO	-5.47	nasdaq stocks
2026-06-17	SNDK	-5.467	nasdaq stocks
2026-06-17	ACDC	-5.465	nasdaq stocks
2026-06-17	TXNU	-5.448	nyse stocks
2026-06-17	KREF	-5.424	nyse stocks
2026-06-17	INSG	-5.421	nasdaq stocks
2026-06-17	IRTC	-5.404	nasdaq stocks
2026-06-17	ACN	-5.391	nyse stocks
2026-06-17	XXI	-5.369	nyse stocks
2026-06-17	MSTR	-5.357	nasdaq stocks
2026-06-17	XPO	-5.343	nyse stocks
2026-06-17	BALY	-5.339	nyse stocks
2026-06-17	SIF	-5.333	nysemkt stocks
2026-06-17	TRU	-5.333	nyse stocks
2026-06-17	DIOD	-5.301	nasdaq stocks
2026-06-17	PPHC	-5.3	nasdaq stocks
2026-06-17	PEGA	-5.293	nasdaq stocks
2026-06-17	IT	-5.283	nyse stocks
2026-06-17	SMCIP	-5.269	nasdaq stocks
2026-06-17	ONEW	-5.268	nasdaq stocks
2026-06-17	WIX	-5.261	nasdaq stocks
2026-06-17	HMH	-5.252	nasdaq stocks
2026-06-17	EPAM	-5.24	nyse stocks
2026-06-17	INLX	-5.24	nysemkt stocks
2026-06-17	QUBT	-5.238	nasdaq stocks
2026-06-17	DCH	-5.223	nyse stocks
2026-06-17	UPST	-5.213	nasdaq stocks
2026-06-17	PDM	-5.212	nyse stocks
2026-06-17	GASS	-5.21	nasdaq stocks
2026-06-17	OII	-5.207	nyse stocks
2026-06-17	XRAY	-5.198	nasdaq stocks
2026-06-17	U	-5.193	nyse stocks
2026-06-17	LILA	-5.188	nasdaq stocks
2026-06-17	GLOB	-5.178	nyse stocks
2026-06-17	AIXI	-5.175	nasdaq stocks
2026-06-17	KNX	-5.139	nyse stocks
2026-06-17	QBTS	-5.132	nyse stocks
2026-06-17	RDNT	-5.12	nasdaq stocks
2026-06-17	NVEC	-5.098	nasdaq stocks
2026-06-17	MXL	-5.086	nasdaq stocks
2026-06-17	KMX	-5.083	nyse stocks
2026-06-17	AHCO	-5.08	nasdaq stocks
2026-06-17	VFC	-5.06	nyse stocks
2026-06-17	REZI	-5.058	nyse stocks
2026-06-17	MLAB	-5.05	nasdaq stocks
2026-06-17	AN	-5.044	nyse stocks
2026-06-17	BAX	-5.044	nyse stocks
2026-06-16	WOK	-26.522	nasdaq stocks
2026-06-16	RGNT	-22.342	nysemkt stocks
2026-06-16	SLBT	-20.696	nasdaq stocks
2026-06-16	GIL	-19.559	nyse stocks
2026-06-16	TDIC	-18.717	nasdaq stocks
2026-06-16	PLBL	-15.76	nasdaq stocks
2026-06-16	SNWV	-14.472	nasdaq stocks
2026-06-16	AXTI	-14.448	nasdaq stocks
2026-06-16	BOT	-14.201	nasdaq stocks
2026-06-16	EDHL	-12.143	nasdaq stocks
2026-06-16	AAOI	-12.049	nasdaq stocks
2026-06-16	CUPR	-11.913	nasdaq stocks
2026-06-16	AEVA	-11.665	nasdaq stocks
2026-06-16	HUN	-11.544	nyse stocks
2026-06-16	OPTX	-11.44	nasdaq stocks
2026-06-16	SHMD	-11.175	nasdaq stocks
2026-06-16	HCAI	-11.167	nasdaq stocks
2026-06-16	AMOD	-10.783	nasdaq stocks
